year,province,subject_type,score,rank_min,rank_max,same_score_count,cumulative_count,batch_line_score,above_batch_line_count,source_url
2025,重庆,物理,591,14294,14652,359,14652,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,590,14653,14988,336,14988,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,589,14989,15346,358,15346,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,588,15347,15673,327,15673,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,587,15674,16058,385,16058,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,586,16059,16401,343,16401,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,585,16402,16764,363,16764,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,584,16765,17147,383,17147,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,583,17148,17490,343,17490,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,582,17491,17853,363,17853,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,581,17854,18260,407,18260,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,580,18261,18678,418,18678,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,579,18679,19056,378,19056,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,578,19057,19441,385,19441,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,577,19442,19815,374,19815,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,576,19816,20247,432,20247,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,575,20248,20633,386,20633,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,574,20634,21006,373,21006,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,573,21007,21426,420,21426,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,572,21427,21842,416,21842,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,571,21843,22294,452,22294,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,570,22295,22723,429,22723,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,569,22724,23142,419,23142,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,568,23143,23571,429,23571,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,567,23572,24004,433,24004,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,566,24005,24396,392,24396,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,565,24397,24885,489,24885,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,564,24886,25339,454,25339,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,563,25340,25811,472,25811,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,562,25812,26280,469,26280,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,561,26281,26800,520,26800,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,560,26801,27291,491,27291,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,559,27292,27774,483,27774,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,558,27775,28271,497,28271,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,557,28272,28751,480,28751,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,556,28752,29255,504,29255,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,555,29256,29783,528,29783,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,554,29784,30286,503,30286,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,553,30287,30770,484,30770,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,552,30771,31257,487,31257,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
